v,i,p,s,q,pf,ih3,ih5,ih7,ih9,ih11,ih13,ih15,ih17,ih19,ih21,ih23,ih25,ih27,ih29,ithd,vh3,vh5,vh7,vh9,vh11,vh13,vh15,vh17,vh19,vh21,vh23,vh25,vh27,vh29,vthd,filename,device,device name,voltagerange,Status,devicenumber,State,Type
222.1,0.313,15.1,69.6,16.8,0.218,0.3,2.9,0.5,0.6,1.5,1.3,0.2,0.6,0.4,0.1,0.6,0.2,0.2,0.2,3.7,113.4,101.9,92,84.2,70.9,54,43.7,30.1,26.6,22.6,24.6,23,19.3,20.8,229.6,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
222,0.311,15.1,69.2,16.8,0.219,0.3,2.7,0.6,0.6,1.3,1.5,0.8,0.2,0.3,0,0.1,0.4,0.5,0.1,3.9,119.5,114.9,103.2,93.7,80,67,55.1,48.1,32.2,22.1,19.8,18.3,17,14.3,241.1,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
222,0.311,14.9,69.1,16.7,0.217,0.4,2.9,0.4,0.4,1.5,1.3,0.3,0.6,0.6,0,0.6,0.3,0.4,0.3,3.7,106.5,103,90.7,83.7,78.2,53.3,40.2,44.7,34.5,20.1,15,12.6,6.5,3.3,241,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
220.7,0.311,14.9,68.7,16.6,0.218,0.3,2.2,1.5,1.1,1.1,0.7,0.7,0.6,0.5,0.4,0.4,0.5,0.2,0.1,3.7,115.9,113,109.9,96,91.9,72.5,61.1,40.1,33.7,24.8,17.3,12.8,12,8,262.8,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
220.4,0.312,14.9,68.8,16.6,0.218,0.1,2,1.3,1,1.1,0.5,0.8,0.7,0.3,0.1,0.5,0.3,0.2,0,3.2,111.5,109.2,97.4,83.5,71.5,58.6,43.2,30.1,11.5,11.8,7.2,5.5,7.7,7.5,229.6,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
200.6,0.267,11.6,53.7,12.9,0.217,0.2,2.6,0.5,0.6,1.6,1.3,0.4,0.4,0.5,0.1,0.4,0.2,0.3,0.2,3.6,112,107.2,95.7,91.2,74,63.2,46.8,38.5,23.5,17.6,7.4,1.7,4.5,5,233,l4dslV200.csv,Laptop,l4 lenovo i5 e430,V200,sl,14,4,2
200.6,0.267,11.6,53.6,12.8,0.217,0.3,2.6,0.6,0.5,1.3,1.3,0.8,0.1,0.4,0.1,0.2,0.5,0.7,0.2,3.7,112,108.5,100.5,89,74.5,63.7,48.7,38.5,19.8,15.1,10,6.9,5.5,5,238.1,l4dslV200.csv,Laptop,l4 lenovo i5 e430,V200,sl,14,4,2
200.6,0.266,11.5,53.3,12.8,0.216,0.2,3,0.5,0.5,1.3,1.1,0.5,0.5,0.4,0.1,0.4,0.1,0.5,0.4,3.9,120.5,111,97.7,93.7,77.2,72.7,59.3,37.5,23,18.6,9.1,3.7,2.7,0.6,249.8,l4dslV200.csv,Laptop,l4 lenovo i5 e430,V200,sl,14,4,2
200.6,0.264,11.3,53.1,12.8,0.215,0.3,2.2,1.3,1.1,1.1,0.6,0.6,0.7,0.3,0.2,0.6,0.5,0.2,0.1,3.5,115.2,113.4,108.7,93.5,87.4,63.7,48.3,44.2,30.6,19.6,8.8,4.5,4.7,4,253.4,l4dslV200.csv,Laptop,l4 lenovo i5 e430,V200,sl,14,4,2
200.7,0.264,11.3,52.9,12.8,0.214,0.2,2.2,1,0.7,0.9,0.5,0.7,0.7,0.3,0.2,0.5,0.4,0.2,0.1,3.1,116.2,109.2,99.2,96,75.9,61.1,47.8,43.5,28.3,20.1,9,9.3,3.2,2.2,244.1,l4dslV200.csv,Laptop,l4 lenovo i5 e430,V200,sl,14,4,2
